Ders Kodu;Öğretim Üyesi;Grup;Süre;Ek Bilgi;Atanmış Zaman-Mekan
BLM112;BLM112 Dr. Öğr. Üyesi Tarık Yerlikaya;1AB;2 saat;;Pazartesi 08:30 - 10:30 A2 ()
BLM112;BLM112 Dr. Öğr. Üyesi Tarık Yerlikaya;1AB;1 saat;;Pazartesi 10:30 - 12:30 A2 ()
BLM113;BLM113 Dr. Öğr. Üyesi Cem Taşkın;1AB;1 saat;;Cuma 13:30 - 15:30 A2 ()
BLM111;BLM111 Dr. Öğr. Üyesi Andaç Şahin Mesut Bilgisayar Mühendisliğine Giriş;1A;2 saat;;Salı 08:30 - 10:30 D103 ()
BLM111;BLM111 Dr. Öğr. Üyesi Andaç Şahin Mesut Bilgisayar Mühendisliğine Giriş;1A;2 saat;;Çarşamba 10:30 - 12:30 L208 ()
BLM111;BLM111 Dr. Öğr. Üyesi Andaç Şahin Mesut Bilgisayar Mühendisliğine Giriş;1B;2 saat;;Salı 10:30 - 12:30 D103 ()
BLM111;BLM111 Dr. Öğr. Üyesi Andaç Şahin Mesut Bilgisayar Mühendisliğine Giriş;1B;2 saat;;Çarşamba 08:30 - 10:30 L208 ()
BLM212;BLM212 Dr. Öğr. Üyesi Andaç Şahin Mesut Birleştirici Dil ile Programlama;2A;2 saat;;Pazartesi 08:30 - 10:30 D103 ()
BLM212;BLM212 Dr. Öğr. Üyesi Andaç Şahin Mesut Birleştirici Dil ile Programlama;2A;2 saat;;Pazartesi 10:30 - 12:30 L208 ()
BLM212;BLM212 Dr. Öğr. Üyesi Rembiye Kandemir Birleştirici Dil ile Programlama;2B;2 saat;;Pazartesi 10:30 - 12:30 D103 ()
BLM212;BLM212 Dr. Öğr. Üyesi Rembiye Kandemir Birleştirici Dil ile Programlama;2B;2 saat;;Çarşamba 13:30 - 15:30 L208 ()
BLM211;BLM211 Dr. Öğr. Üyesi Aydın Carus C ile Programlama;2A;2 saat;;Salı 10:30 - 12:30 S1 ()
BLM211;BLM211 Dr. Öğr. Üyesi Aydın Carus C ile Programlama;2A;2 saat;;Perşembe 13:30 - 15:30 L208 ()
BLM211;BLM211 Dr. Öğr. Üyesi Aydın Carus C ile Programlama;2B;2 saat;;Salı 13:30 - 15:30 S1 ()
BLM211;BLM211 Dr. Öğr. Üyesi Aydın Carus C ile Programlama;2B;2 saat;;Perşembe 08:30 - 10:30 L208 ()
BLM216;BLM216 Prof. Dr. Muharrem Tolga Sakallı;2AB;2 saat;;Pazartesi 13:30 - 15:30 S1 ()
BLM216;BLM216 Prof. Dr. Muharrem Tolga Sakallı;2AB;1 saat;;Pazartesi 15:30 - 17:30 S1 ()
BLM213;BLM213 Dr. Öğr. Üyesi Deniz Taşkın;2AB;2 saat;;Çarşamba 08:30 - 10:30 A2 ()
BLM213;BLM213 Dr. Öğr. Üyesi Deniz Taşkın;2AB;1 saat;;Çarşamba 10:30 - 12:30 A2 ()
BLM214;BLM214 Dr. Öğr. Üyesi Deniz Taşkın;2AB;2 saat;;Perşembe 10:30 - 12:30 L208 ()
BLM215;BLM215 Dr. Öğr. Üyesi Tarık Yerlikaya;2AB;2 saat;;Cuma 08:30 - 10:30 A1 ()
BLM215;BLM215 Dr. Öğr. Üyesi Tarık Yerlikaya;2AB;2 saat;;Cuma 10:30 - 12:30 A1 ()
BLM217;Bilinmiyor;Bilinmiyor;Bilinmiyor;;Salı 08:30 - 10:30 A1 ()
BLM317;BLM317 Öğr. Gör. Evla Yürükler;3AB;2 saat;;Cuma 10:30 - 12:30 L201 ()
BLM316;BLM316 Dr. Öğr. Üyesi Fatma Büyüksaraçoğlu Sakallı Elektrik Devre Temelleri Laboratuvarı;3A;2 saat;;Salı 13:30 - 15:30 L208 ()
BLM316;BLM316 Dr. Öğr. Üyesi Fatma Büyüksaraçoğlu Sakallı Elektrik Devre Temelleri Laboratuvarı;3A;1 saat;;Salı 15:30 - 17:30 A1 ()
BLM316;BLM316 Dr. Öğr. Üyesi Fatma Büyüksaraçoğlu Sakallı Elektrik Devre Temelleri Laboratuvarı;3B;2 saat;;Çarşamba 10:30 - 12:30 L202 ()
BLM316;BLM316 Dr. Öğr. Üyesi Fatma Büyüksaraçoğlu Sakallı Elektrik Devre Temelleri Laboratuvarı;3B;1 saat;;Çarşamba 15:30 - 17:30 A1 ()
BLM311;BLM311 Dr. Öğr. Üyesi Fatma Büyüksaraçoğlu Sakallı;3AB;2 saat;;Salı 10:30 - 12:30 L202 ()
BLM311;BLM311 Dr. Öğr. Üyesi Fatma Büyüksaraçoğlu Sakallı;3AB;1 saat;;Çarşamba 08:30 - 10:30 A1 ()
BLM315;BLM315 Dr. Öğr. Üyesi Altan Mesut;3A;2 saat;;Cuma 15:30 - 17:30 L206 ()
BLM315;BLM315 Dr. Öğr. Üyesi Altan Mesut;3A;1 saat;;Perşembe 15:30 - 17:30 L206 ()
BLM315;BLM315 Dr. Öğr. Üyesi Altan Mesut;3B;2 saat;;Salı 13:30 - 15:30 L201 ()
BLM315;BLM315 Dr. Öğr. Üyesi Altan Mesut;3B;1 saat;;Pazartesi 15:30 - 17:30 L206 ()
BLM312;BLM312 Dr. Öğr. Üyesi Özlem Aydın Fidan;3AB;2 saat;;Cuma 13:30 - 15:30 A1 ()
BLM312;BLM312 Dr. Öğr. Üyesi Özlem Aydın Fidan;3AB;1 saat;;Perşembe 08:30 - 10:30 L206 ()
BLM313;BLM313 Dr. Öğr. Üyesi Özlem Aydın Fidan;3AB;2 saat;;Perşembe 13:30 - 15:30 A2 ()
BLM313;BLM313 Dr. Öğr. Üyesi Özlem Aydın Fidan;3AB;1 saat;;Cuma 08:30 - 10:30 L207 ()
BLM314;BLM314 Dr. Öğr. Üyesi Turgut Doğan;3AB;2 saat;;Perşembe 10:30 - 12:30 L201 ()
BLM314;BLM314 Dr. Öğr. Üyesi Turgut Doğan;3AB;1 saat;;Salı 08:30 - 10:30 A2 ()
BLM4107;BLM4107 Dr. Öğr. Üyesi Turgut Doğan;4AB;2 saat;;Cuma 13:30 - 15:30 L207 ()
BLM4107;BLM4107 Dr. Öğr. Üyesi Turgut Doğan;4AB;1 saat;;Cuma 10:30 - 12:30 L206 ()
BLM4104;BLM4104 Dr. Öğr. Üyesi Derya Alsancak Arda;4AB;2 saat;;Pazartesi 13:30 - 15:30 L206 ()
BLM4104;BLM4104 Dr. Öğr. Üyesi Derya Alsancak Arda;4AB;1 saat;;Perşembe 10:30 - 12:30 A2 ()
BLM4106;BLM4106 Dr. Öğr. Üyesi Derya Alsancak Arda;4AB;2 saat;;Salı 15:30 - 17:30 L201 ()
BLM4106;BLM4106 Dr. Öğr. Üyesi Derya Alsancak Arda;4AB;1 saat;;Perşembe 13:30 - 15:30 L206 ()
BLM4119;BLM4119 Dr. Öğr. Üyesi Deniz Taşkın;4AB;2 saat;;Cuma 08:30 - 10:30 L202 ()
BLM4119;BLM4119 Dr. Öğr. Üyesi Deniz Taşkın;4AB;1 saat;;Çarşamba 15:30 - 17:30 D103 ()
BLM4101;BLM4101 Dr. Öğr. Üyesi Özlem Uçar;4AB;2 saat;;Perşembe 10:30 - 12:30 L207 ()
BLM4101;BLM4101 Dr. Öğr. Üyesi Özlem Uçar;4AB;1 saat;;Perşembe 13:30 - 15:30 L202 ()
BLM4114;BLM4114 Dr. Öğr. Üyesi Özlem Uçar;4AB;2 saat;;Cuma 10:30 - 12:30 L202 ()
BLM4114;BLM4114 Dr. Öğr. Üyesi Özlem Uçar;4AB;1 saat;;Cuma 08:30 - 10:30 L208 ()
BLM4121;BLM4121 Dr. Öğr. Üyesi Emir Öztürk;4AB;2 saat;;Pazartesi 15:30 - 17:30 L201 ()
BLM4121;BLM4121 Dr. Öğr. Üyesi Emir Öztürk;4AB;1 saat;;Salı 08:30 - 10:30 L206 ()
BLM4116;BLM4116 Dr. Öğr. Üyesi Cem Taşkın;4AB;2 saat;;Cuma 15:30 - 17:30 D103 ()
BLM4116;BLM4116 Dr. Öğr. Üyesi Cem Taşkın;4AB;1 saat;;Çarşamba 10:30 - 12:30 L206 ()
BLM4120;BLM4120 Doç. Dr. Deniz Mertkan Gezgin;4AB;1 saat;;Pazartesi 10:30 - 12:30 L207 ()
BLM4120;BLM4120 Doç. Dr. Deniz Mertkan Gezgin;4AB;2 saat;;Perşembe 08:30 - 10:30 A1 ()
BLM4110;BLM4110 Dr. Öğr. Üyesi Rembiye Kandemir;4AB;2 saat;;Çarşamba 15:30 - 17:30 A2 ()
BLM4110;BLM4110 Dr. Öğr. Üyesi Rembiye Kandemir;4AB;1 saat;;Perşembe 15:30 - 17:30 A2 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Rembiye Kandemir;4AB;2 saat;;Pazartesi 08:30 - 10:30 A1 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Rembiye Kandemir;4AB;2 saat;;Çarşamba 10:30 - 12:30 A1 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Andaç Şahin Mesut;4AB;2 saat;;Çarşamba 13:30 - 15:30 L201 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Andaç Şahin Mesut;4AB;2 saat;;Pazartesi 15:30 - 17:30 A1 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Cem Taşkın;4AB;2 saat;;Perşembe 08:30 - 10:30 L201 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Cem Taşkın;4AB;2 saat;;Salı 15:30 - 17:30 D103 ()
BLM412;BLM412 Proje 1 Prof. Dr. Muharrem Tolga Sakallı;4AB;2 saat;;Çarşamba 08:30 - 10:30 D103 ()
BLM412;BLM412 Proje 1 Prof. Dr. Muharrem Tolga Sakallı;4AB;2 saat;;Salı 08:30 - 10:30 L207 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Aydın Carus;4AB;2 saat;;Perşembe 15:30 - 17:30 L208 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Aydın Carus;4AB;2 saat;;Çarşamba 10:30 - 12:30 D103 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Deniz Taşkın;4AB;2 saat;;Salı 10:30 - 12:30 L208 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Deniz Taşkın;4AB;2 saat;;Pazartesi 13:30 - 15:30 L208 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Altan Mesut;4AB;2 saat;;Çarşamba 13:30 - 15:30 L206 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Altan Mesut;4AB;2 saat;;Pazartesi 13:30 - 15:30 A2 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Özlem Aydın Fidan;4AB;2 saat;;Salı 08:30 - 10:30 S1 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Özlem Aydın Fidan;4AB;2 saat;;Salı 10:30 - 12:30 L206 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Emir Öztürk;4AB;2 saat;;Salı 13:30 - 15:30 D103 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Emir Öztürk;4AB;2 saat;;Pazartesi 08:30 - 10:30 S1 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Fatma Büyüksaraçoğlu Sakallı;4AB;2 saat;;Pazartesi 10:30 - 12:30 L201 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Fatma Büyüksaraçoğlu Sakallı;4AB;2 saat;;Perşembe 08:30 - 10:30 D103 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Turgut Doğan;4AB;2 saat;;Salı 15:30 - 17:30 S1 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Turgut Doğan;4AB;2 saat;;Salı 13:30 - 15:30 L207 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Özlem Uçar;4AB;2 saat;;Çarşamba 08:30 - 10:30 L207 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Özlem Uçar;4AB;2 saat;;Pazartesi 10:30 - 12:30 L202 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Derya Alsancak Arda;4AB;2 saat;;Salı 13:30 - 15:30 A2 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Derya Alsancak Arda;4AB;2 saat;;Cuma 13:30 - 15:30 D103 ()
BLM412;BLM412 Proje 1 Doç. Dr. Deniz Mertkan Gezgin;4AB;2 saat;;Salı 10:30 - 12:30 A1 ()
BLM412;BLM412 Proje 1 Doç. Dr. Deniz Mertkan Gezgin;4AB;2 saat;;Pazartesi 15:30 - 17:30 L207 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Tarık Yerlikaya;4AB;2 saat;;Çarşamba 13:30 - 15:30 L207 ()
BLM412;BLM412 Proje 1 Dr. Öğr. Üyesi Tarık Yerlikaya;4AB;2 saat;;Çarşamba 08:30 - 10:30 L206 ()
BLM412;BLM412 Proje 1 Arş. Gör. Dr. Işıl Çetintav;4AB;2 saat;;Cuma 13:30 - 15:30 L202 ()
BLM412;BLM412 Proje 1 Arş. Gör. Dr. Işıl Çetintav;4AB;2 saat;;Cuma 15:30 - 17:30 L208 ()
BLM412;BLM412 Proje 1 Arş. Gör. Dr. Ümit Can Kumdereli;4AB;2 saat;;Pazartesi 08:30 - 10:30 L207 ()
BLM412;BLM412 Proje 1 Arş. Gör. Dr. Ümit Can Kumdereli;4AB;2 saat;;Cuma 10:30 - 12:30 L208 ()
